epoch,accuracy,loss,val_accuracy,val_loss
0,0.4987706,0.6931745574121603,0.5,0.693148463661523
1,0.4990789,0.6931684588113719,0.5,0.6931792204273662
2,0.5002208,0.6931644992602773,0.5,0.6931638424544102
3,0.4974042,0.6931721392971177,0.5,0.6931496263457357
4,0.50028926,0.6931639309314753,0.5,0.693173974975549
5,0.49848515,0.6931679040387528,0.5,0.6931471824319475
6,0.49860692,0.6931669032764721,0.5,0.6931597590664152
7,0.4987744,0.6931652674761923,0.5,0.6931477784820232
8,0.4994976,0.693160302948998,0.5,0.6931833625746786
9,0.4992616,0.6931654120001574,0.5,0.6931471823956673
10,0.4988201,0.6931622654992499,0.5,0.6931474209194588
11,0.5001142,0.6931615855339633,0.5,0.693156480901653
12,0.49922353,0.6931619692052027,0.5,0.6931553792587788
13,0.4978457,0.693163915859824,0.5,0.6931474208686667
14,0.4994443,0.69315403428724,0.5,0.6931768059585409
15,0.50026643,0.6931599443242777,0.5,0.6931516837708027
16,0.50057095,0.6931554444143027,0.5,0.6931547522653702
17,0.49967268,0.6931599439209091,0.5,0.6931473317537546
18,0.49888858,0.6931600970349486,0.5,0.6931473316666823
19,0.49974117,0.6931591613012378,0.5,0.6931500139446295
