epoch,accuracy,loss,val_accuracy,val_loss
0,0.9207354,0.21839416134801654,0.7495275735855103,1.0486349163100512
1,0.92363214,0.19190721899934887,0.746174693107605,0.9856713342811241
2,0.92546356,0.18315196015193036,0.7467690706253052,1.1387233307398448
3,0.9273907,0.1780463851823417,0.7472872734069824,1.08423995365968
4,0.92899466,0.1734511450907104,0.7399110198020935,1.2448442975852627
5,0.9294495,0.17107709153289646,0.7390879988670349,1.230794669970801
6,0.9302874,0.16862192212402333,0.7359028458595276,1.4041986505041557
7,0.9309098,0.1672927071958919,0.740749180316925,1.386305841353173
8,0.93135273,0.16554929152946746,0.7391642332077026,1.4126689502298542
9,0.93153226,0.16439926306701078,0.7381584048271179,1.409285501572191
10,0.9314126,0.1634604983284939,0.7382498383522034,1.4423489658213322
11,0.9317118,0.16246358728949045,0.739438533782959,1.4277204029685373
